"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30771","Add game to the shopping cart","firefox","Fri Apr 18 10:16:40 GMT 2025","broken","Fri Apr 18 10:17:11 GMT 2025","","ui.test.js","",""
"","2265","Search game via search bar","firefox","Fri Apr 18 10:16:06 GMT 2025","passed","Fri Apr 18 10:16:09 GMT 2025","","ui.test.js","",""
"","3304","Change language","firefox","Fri Apr 18 10:16:00 GMT 2025","passed","Fri Apr 18 10:16:03 GMT 2025","","ui.test.js","",""
"","6614","Login to account","firefox","Fri Apr 18 10:15:45 GMT 2025","passed","Fri Apr 18 10:15:52 GMT 2025","","ui.test.js","",""
"","6002","Search friend by the code","chromium","Fri Apr 18 10:15:38 GMT 2025","passed","Fri Apr 18 10:15:44 GMT 2025","","ui.test.js","",""
"","7498","Search friend by the code","firefox","Fri Apr 18 10:17:20 GMT 2025","passed","Fri Apr 18 10:17:27 GMT 2025","","ui.test.js","",""
"","2208","Search game via search bar","chromium","Fri Apr 18 10:14:28 GMT 2025","passed","Fri Apr 18 10:14:31 GMT 2025","","ui.test.js","",""
"","30501","Add game to the shopping cart","chromium","Fri Apr 18 10:15:02 GMT 2025","broken","Fri Apr 18 10:15:32 GMT 2025","","ui.test.js","",""
"","4789","Remove game from the shopping cart","chromium","Fri Apr 18 10:15:33 GMT 2025","passed","Fri Apr 18 10:15:38 GMT 2025","","ui.test.js","",""
"","5276","Update profile data in the profile page","chromium","Fri Apr 18 10:14:18 GMT 2025","passed","Fri Apr 18 10:14:23 GMT 2025","","ui.test.js","",""
"","2399","Go to special game category","chromium","Fri Apr 18 10:14:26 GMT 2025","passed","Fri Apr 18 10:14:28 GMT 2025","","ui.test.js","",""
"","5180","Login to account","chromium","Fri Apr 18 10:14:13 GMT 2025","passed","Fri Apr 18 10:14:18 GMT 2025","","ui.test.js","",""
"","2752","Change language","chromium","Fri Apr 18 10:14:23 GMT 2025","passed","Fri Apr 18 10:14:26 GMT 2025","","ui.test.js","",""
"","3116","Go to special game category","firefox","Fri Apr 18 10:16:03 GMT 2025","passed","Fri Apr 18 10:16:06 GMT 2025","","ui.test.js","",""
"","7757","Update profile data in the profile page","firefox","Fri Apr 18 10:15:52 GMT 2025","passed","Fri Apr 18 10:16:00 GMT 2025","","ui.test.js","",""
"","6181","Remove game from the shopping cart","firefox","Fri Apr 18 10:17:13 GMT 2025","passed","Fri Apr 18 10:17:19 GMT 2025","","ui.test.js","",""
